Wavelength(um),Transmittance,SEBSControl,05um,1um,2um,4um,8um
11.81,0.5468488467,0.01474192856,0.02685823769,0.02407732616,0.02726013792,0.0283943875,0.02379728838
11.82,0.5468488467,0.01495742777,0.02762605921,0.02469577358,0.02811402726,0.02922180918,0.02449385536
11.83,0.56084671,0.01510938205,0.02838835697,0.0252256236,0.0289580038,0.02998151356,0.0251001363
11.84,0.56084671,0.01524544048,0.02909148869,0.02568922885,0.02976237583,0.03069598942,0.0256836132
11.85,0.56084671,0.01535427391,0.02970988633,0.02614117515,0.03053840053,0.03132072859,0.02624431211
11.86,0.563337855,0.01542455579,0.03026380559,0.02663280545,0.03129707606,0.03190047631,0.02673746756
11.87,0.563337855,0.01544495933,0.03080691716,0.02717548561,0.03200768701,0.03241304262,0.02714077167
11.88,0.56618488,0.01544495933,0.03139009206,0.02772995526,0.0326039603,0.03276945635,0.02743194226
11.89,0.56618488,0.01544722632,0.03201994702,0.02823555702,0.03302999629,0.03308120747,0.02767824914
11.9,0.56618488,0.01549029856,0.03265496448,0.02865233034,0.03327132557,0.03328156617,0.02770063974
11.91,0.57935236,0.01554923664,0.03322056213,0.02898955445,0.03338039319,0.03345962178,0.02785733784
11.92,0.57935236,0.01557417103,0.03365611549,0.02929022784,0.03342646468,0.03350413569,0.02785733784
11.93,0.57935236,0.01549936539,0.03395868338,0.02959795756,0.03347542692,0.03350413569,0.02770063974
11.94,0.58077587,0.01528398426,0.03416708759,0.02992323628,0.03356778052,0.03345962178,0.02767824914
11.95,0.58077587,0.01493474026,0.03434276084,0.03023701908,0.03372309249,0.03328156617,0.02747673376
11.96,0.58148763,0.0144900713,0.03452195882,0.03048551781,0.03396112936,0.03308120747,0.02727517198
11.97,0.58148763,0.01399979643,0.03470334644,0.03062547997,0.03429005754,0.03285854055,0.02698395497
11.98,0.58148763,0.01350473649,0.03487336654,0.03064780062,0.0347004499,0.03261355003,0.02671506149
11.99,0.58433465,0.01304351854,0.03503358,0.03059378416,0.03515954637,0.03261355003,0.02642367937
12,0.58433465,0.01264119748,0.03522375641,0.03054847086,0.03561642798,0.03261355003,0.02613221467
12.01,0.58433465,0.0123296845,0.03550828283,0.03061677412,0.03601893673,0.03279172869,0.02590794751
12.02,0.58433465,0.01214545971,0.03593569088,0.03086650831,0.03634206575,0.03299214378,0.02590794751
12.03,0.58433465,0.01209541734,0.03652220902,0.03130177308,0.03658034822,0.03321477993,0.02590794751
12.04,0.58362289,0.01213408688,0.03722276993,0.0318298125,0.03675558312,0.03343736483,0.02606493452
12.05,0.58362289,0.01218867705,0.03796535883,0.03231590392,0.03690106992,0.03368215031,0.02615463622
12.06,0.58362289,0.01217730416,0.03866842173,0.03264651391,0.03706272009,0.03401584576,0.0263564302
